I (A)	      B (T)	M (A/M)	    H (A/M)
0,012626263	0,043	34098,06023	120,2525298
0,012545325	0,043	34098,83109	119,4816716
0,012626263	0,043	34098,06023	120,2525298
0,013003957	0,044	34890,23779	123,8496873
0,017361094	0,046	36440,28985	165,3470588
0,019438496	0,048	38012,0541	185,1322396
0,020922359	0,05	39589,47122	199,2645504
0,023525848	0,053	41951,99975	224,0601741
0,023593301	0,053	41951,35732	224,7026012
0,024186841	0,054	42741,47916	230,3554712
0,025171559	0,054	42732,1007	239,7339299
0,030840875	0,057	45065,43029	293,7284912
0,031209474	0,061	48245,01861	297,2390323
0,031414258	0,062	49038,84297	299,1893933
0,031250442	0,061	48244,62843	297,6292131
0,033011589	0,064	50615,17942	314,4023719
0,033339249	0,065	51407,8335	317,5230038
0,034035536	0,066	52196,97677	324,1544483
0,033707877	0,066	52200,0974	321,0338165
0,03456798	0,066	52191,90578	329,2254412
0,035714775	0,068	53772,53313	340,147517
0,036697754	0,068	53763,17124	349,5094126
0,037844578	0,07	55343,79832	360,43176
0,038868497	0,071	56129,82123	370,1835649
0,041325931	0,076	60085,29021	393,5881682
0,042390818	0,077	60870,92294	403,7301539
0,042186035	0,077	60872,8733	401,7797929
0,042472755	0,078	61665,91729	404,5105155
0,042718478	0,079	62459,35174	406,8507858
0,043169014	0,079	62455,06083	411,1416886
0,047305715	0,083	65598,76175	450,5396321
0,048165819	0,086	67977,89427	458,7312568
0,048534418	0,087	68770,15845	462,241798
0,048247726	0,088	69568,66361	459,5113469
0,049230706	0,088	69559,30172	468,8732425
0,049271646	0,089	70354,68652	469,2631518
0,050541345	0,091	71934,14334	481,3557701
0,050705161	0,092	72728,35787	482,9159502
0,050869005	0,092	72726,79742	484,4764019
0,050541345	0,092	72729,91805	481,3557701
0,050950913	0,092	72726,01733	485,256492
0,050664221	0,092	72728,74778	482,5260409
0,050172717	0,092	72733,42886	477,8449574
0,05103282	0,092	72725,23724	486,0365821
0,051442388	0,092	72721,33652	489,9373041
0,051196665	0,093	73519,4515	487,5970338
0,050869005	0,093	73522,57214	484,4764019
0,051974832	0,093	73512,04024	495,0082969
0,054063666	0,096	75879,47033	514,9023591
0,054432294	0,1	79059,05837	518,4131718
0,059101411	0,102	80606,13914	562,8818366
0,0626647	0,112	88529,94952	596,8186065
0,066146082	0,114	90088,34228	629,9752862
0,068726392	0,123	97225,73984	654,5501604
0,069914156	0,128	101193,3012	665,8624171
0,070241815	0,128	101190,1805	668,9830489
0,070037031	0,129	101987,9056	667,0326879
0,070979043	0,13	102774,7086	676,0044028
0,071265734	0,131	103567,7529	678,7348538
0,071839146	0,131	103562,2917	684,1960275
0,071921054	0,132	104357,2863	684,9761176
0,072863094	0,132	104348,3143	693,9481039
0,077368366	0,138	109080,0544	736,8563171
0,079743892	0,146	115423,6276	759,4808303
0,080194428	0,147	116215,1114	763,7717331
0,083511994	0,152	120162,3885	795,3682327
0,086314793	0,154	121727,2441	822,0620846
0,086585775	0,16	126499,3115	824,6429257
0,087127798	0,16	126494,1493	829,8051508
0,089702321	0,162	128061,179	854,3249055
0,093089878	0,169	133599,3389	886,5879979
0,095664429	0,173	136757,9178	911,1080241
0,095528924	0,175	138350,7577	909,8174679
0,097154935	0,176	139131,0463	925,3036002
0,100542492	0,179	141486,1074	957,5666926
0,100406986	0,182	143874,7221	956,2761363
0,10122002	0,183	144662,7535	964,019474
0,108672606	0,194	153345,2969	1034,997897
0,110027634	0,195	154128,1663	1047,903188
0,109350106	0,196	154930,3938	1041,450407
0,108808111	0,196	154935,5558	1036,288453
0,108808111	0,196	154935,5558	1036,288453
0,108808111	0,196	154935,5558	1036,288453
0,108943617	0,196	154934,2652	1037,57901
0,118835277	0,205	162002,0295	1131,787174
0,123306822	0,216	170712,9644	1174,374174
0,124797356	0,216	170698,7685	1188,570021
0,123171316	0,216	170714,2549	1173,083618
0,123984322	0,217	171502,2866	1180,826684
0,130081936	0,221	174627,3118	1238,900359
0,13292747	0,227	179374,8592	1266,001226
0,138483061	0,234	184892,3707	1318,912676
0,140380084	0,237	187261,6276	1336,979921
0,142819101	0,24	189625,7226	1360,209119
0,145664664	0,243	191985,9456	1387,310258
0,147697192	0,245	193558,1372	1406,668059
0,148781209	0,247	195139,3625	1416,992238
0,149729749	0,248	195926,1033	1426,026132
0,155556295	0,253	199849,4849	1481,518151
0,156911323	0,256	202223,9037	1494,423442
0,158401829	0,259	204597,0323	1508,619018
0,160840903	0,26	205369,5773	1531,84876
0,161247392	0,262	206957,2553	1535,720157
0,16192492	0,263	207746,5772	1542,172938
0,163821943	0,265	209320,0594	1560,240183
0,165718966	0,266	210097,7669	1578,307428
0,167480483	0,268	211672,5396	1595,084117
0,169377505	0,27	213246,0218	1613,151362
0,172494079	0,273	215603,6637	1642,833613
0,172765062	0,274	216396,8576	1645,414454
0,173578068	0,275	217184,8892	1653,15752
0,173984585	0,276	217976,7923	1657,029189
0,174662114	0,277	218766,1142	1663,48197
0,175746102	0,278	219551,565	1673,805878
0,175068602	0,278	219558,0175	1667,353368
0,174797619	0,278	219560,5984	1664,772527
0,174797619	0,278	219560,5984	1664,772527
0,176152591	0,278	219547,6936	1677,677275
0,179540176	0,279	220311,205	1709,940639
0,183334222	0,284	224253,9441	1746,075129
0,189567341	0,29	228969,2281	1805,43936
0,193090376	0,293	231322,9989	1838,992737
0,194851893	0,296	233693,5464	1855,769425
0,199729984	0,3	236830,1863	1902,228365
0,201762484	0,304	239993,9276	1921,585895
0,205556529	0,306	241549,3425	1957,720385
0,208944115	0,309	243904,4033	1989,983749
0,21206066	0,313	247057,8202	2019,665728
0,212196166	0,314	247852,3044	2020,956285
0,211789649	0,314	247856,176	2017,084616
0,213009172	0,314	247844,5613	2028,699351
0,2136867	0,315	248633,8832	2035,152132
0,215583694	0,317	250207,3657	2053,219106
0,215854706	0,317	250204,7846	2055,800218
0,217345211	0,318	250986,3637	2069,995794
0,218835746	0,32	252563,7173	2084,191642
0,219784257	0,32	252554,6837	2093,225264
0,221952291	0,322	254125,5848	2113,873622
0,22628836	0,326	257267,3869	2155,170336
0,228591899	0,327	258041,2227	2177,10925
0,227507882	0,328	258847,3216	2166,785071
0,227372377	0,328	258848,6122	2165,494515
0,226694877	0,328	258855,0647	2159,042005
0,230217911	0,328	258821,5113	2192,595382
0,240380582	0,335	264295,145	2289,38466
0,24146457	0,341	269059,4694	2299,708567
0,241600076	0,341	269058,1788	2300,999123
0,24376811	0,341	269037,5305	2321,64748
0,246749178	0,344	271396,4629	2350,039176
0,250272241	0,347	273750,2334	2383,592824
0,250949713	0,348	274539,5559	2390,045063
0,251627241	0,348	274533,1031	2396,497844
0,253524264	0,35	276106,5853	2414,565089
0,255150304	0,351	276886,8736	2430,051493
0,256098815	0,352	277673,6147	2439,085115
0,258673309	0,354	279240,6447	2463,604598
0,259486372	0,356	280824,4505	2471,348207
0,264364435	0,356	280777,9918	2517,806876
0,266261457	0,361	284738,7982	2535,874121
0,267345446	0,362	285524,249	2546,198028
0,26720994	0,362	285525,5395	2544,907472
0,267887469	0,362	285519,0867	2551,360253
0,276288623	0,369	291009,4972	2631,372842
0,276288623	0,369	291009,4972	2631,372842
0,276830617	0,37	291800,1099	2636,534795
0,276830617	0,37	291800,1099	2636,534795
0,276695111	0,37	291801,4005	2635,244239
0,280404512	0,373	294153,3963	2670,572572
0,281632531	0,373	294141,7006	2682,268222
0,282451238	0,374	294929,678	2690,065593
0,283679314	0,374	294917,9818	2701,761785
0,282451238	0,374	294929,678	2690,065593
0,282860578	0,374	294925,7794	2693,964142
0,282860578	0,374	294925,7794	2693,964142
0,283679314	0,374	294917,9818	2701,761785
0,285316615	0,376	296493,9376	2717,355441
0,285316615	0,377	297289,7123	2717,355441
0,285726012	0,376	296490,0385	2721,254534
0,285726012	0,377	297285,8132	2721,254534
0,289410295	0,377	297250,7241	2756,343654
0,294322484	0,383	301978,5887	2803,127337
0,294731881	0,383	301974,6896	2807,02643
0,296778578	0,385	303546,7463	2826,519179
0,298415879	0,386	304326,9273	2842,112835
0,302509275	0,389	306675,266	2881,098333
0,304146861	0,39	307455,4443	2896,694704
0,304556258	0,39	307451,5452	2900,593797
0,306602955	0,392	309023,6019	2920,086546
0,307421463	0,392	309015,8064	2927,882016
0,311105747	0,394	310572,2668	2962,971136
0,312333652	0,396	312152,1216	2974,665699
0,314789746	0,397	312924,5045	2998,057541
0,315608539	0,399	314508,2557	3005,855727
0,316427332	0,399	314500,4576	3013,653912
0,316836729	0,4	315292,3332	3017,553005
0,319292823	0,401	316064,7161	3040,944847
0,319292823	0,401	316064,7161	3040,944847
0,320930124	0,404	318436,4465	3056,538503
0,322567425	0,404	318420,8529	3072,132159
0,323795615	0,404	318409,1556	3083,829437
0,325432916	0,406	319985,1114	3099,423093
0,325842313	0,407	320776,987	3103,322186
0,326661106	0,407	320769,1888	3111,120372
0,327479614	0,407	320761,3933	3118,915842
0,3291172	0,408	321541,5717	3134,512213
0,330345105	0,41	323121,4266	3146,206777
0,331573294	0,411	323905,504	3157,904055
0,335257293	0,413	325461,967	3192,99046
0,338532181	0,415	327022,3264	3224,180487
0,339760085	0,417	328602,1813	3235,87505
0,339350974	0,417	328606,0777	3231,978673
0,341397671	0,417	328586,5849	3251,471422
0,340988275	0,417	328590,484	3247,572329
0,341807068	0,418	329378,4605	3255,370514
0,340988275	0,418	329386,2587	3247,572329
0,340578878	0,418	329390,1578	3243,673236
0,340988275	0,418	329386,2587	3247,572329
0,341397671	0,418	329382,3596	3251,471422
0,340988275	0,418	329386,2587	3247,572329
0,341397671	0,418	329382,3596	3251,471422
0,341397671	0,418	329382,3596	3251,471422
0,341397671	0,418	329382,3596	3251,471422
0,340988275	0,418	329386,2587	3247,572329
0,341397671	0,418	329382,3596	3251,471422
0,340988275	0,418	329386,2587	3247,572329
0,341807068	0,418	329378,4605	3255,370514
0,340988275	0,418	329386,2587	3247,572329
0,341807068	0,418	329378,4605	3255,370514
0,340988275	0,418	329386,2587	3247,572329
0,341397671	0,418	329382,3596	3251,471422
0,341397671	0,418	329382,3596	3251,471422
0,340578878	0,418	329390,1578	3243,673236
0,341807068	0,418	329378,4605	3255,370514
0,340988275	0,418	329386,2587	3247,572329
0,341397671	0,418	329382,3596	3251,471422
0,340988275	0,418	329386,2587	3247,572329
0,340988275	0,418	329386,2587	3247,572329
0,341807068	0,418	329378,4605	3255,370514
0,341397671	0,418	329382,3596	3251,471422
0,340578878	0,418	329390,1578	3243,673236
0,340578878	0,418	329390,1578	3243,673236
0,340988275	0,418	329386,2587	3247,572329
0,340578878	0,418	329390,1578	3243,673236
0,340578878	0,418	329390,1578	3243,673236
0,341397671	0,418	329382,3596	3251,471422
0,341807068	0,418	329378,4605	3255,370514
0,341397671	0,418	329382,3596	3251,471422
0,340169482	0,418	329394,0569	3239,774143
0,341397671	0,418	329382,3596	3251,471422
0,340988275	0,418	329386,2587	3247,572329
0,340988275	0,418	329386,2587	3247,572329
0,340578878	0,418	329390,1578	3243,673236
0,341397671	0,418	329382,3596	3251,471422
0,33566669	0,418	329436,9415	3196,889553
0,332391802	0,415	327080,8074	3165,699525
0,332391802	0,415	327080,8074	3165,699525
0,331982406	0,415	327084,7065	3161,800433
0,325842313	0,414	326347,41	3103,322186
0,325432916	0,412	324759,7597	3099,423093
0,325432916	0,412	324759,7597	3099,423093
0,325432916	0,412	324759,7597	3099,423093
0,324614123	0,412	324767,5579	3091,624908
0,324614123	0,412	324767,5579	3091,624908
0,322567425	0,411	323991,2759	3072,132159
0,321339521	0,411	324002,9705	3060,437596
0,318064633	0,41	323238,3858	3029,247568
0,318064633	0,409	322442,6111	3029,247568
0,31847403	0,409	322438,712	3033,146661
0,318064633	0,409	322442,6111	3029,247568
0,318064633	0,409	322442,6111	3029,247568
0,318064633	0,409	322442,6111	3029,247568
0,31724584	0,409	322450,4092	3021,449383
0,31724584	0,409	322450,4092	3021,449383
0,317655237	0,409	322446,5101	3025,348475
0,311105747	0,407	320917,3381	2962,971136
0,308649653	0,406	320144,9552	2939,579294
0,306193559	0,405	319372,5723	2916,187453
0,306193559	0,404	318576,7976	2916,187453
0,303328068	0,404	318604,0885	2888,896518
0,30128137	0,403	317827,8066	2869,403769
0,299643784	0,401	316251,8535	2853,807398
0,299643784	0,402	317047,6282	2853,807398
0,297597086	0,401	316271,3462	2834,314649
0,297597086	0,401	316271,3462	2834,314649
0,296369182	0,401	316283,0408	2822,620086
0,295550389	0,4	315495,0643	2814,8219
0,294322484	0,4	315506,7588	2803,127337
0,293503691	0,399	314718,7823	2795,329152
0,292684898	0,399	314726,5805	2787,530966
0,289819407	0,399	314753,8714	2760,240031
0,286954201	0,397	313189,6102	2732,951812
0,285726012	0,396	312405,5328	2721,254534
0,286135408	0,396	312401,6337	2725,153627
0,284907332	0,395	311617,5552	2713,457434
0,283679314	0,395	311629,2508	2701,761785
0,28122322	0,395	311652,6427	2678,369943
0,279585804	0,394	310872,4627	2662,775201
0,279995144	0,393	310072,7894	2666,673751
0,279176436	0,393	310080,5868	2658,87638
0,275492295	0,392	309319,8998	2623,788617
0,274673587	0,391	308531,9225	2615,991246
0,274673587	0,391	308531,9225	2615,991246
0,273445569	0,39	307747,8434	2604,295597
0,271808154	0,39	307763,4382	2588,700855
0,270989446	0,389	306975,4608	2580,903484
0,268533352	0,388	306203,078	2557,511642
0,266486626	0,387	305426,7963	2538,018622
0,266895965	0,387	305422,8977	2541,917172
0,266486626	0,387	305426,7963	2538,018622
0,267305305	0,387	305418,9992	2545,815721
0,267305305	0,387	305418,9992	2545,815721
0,267305305	0,387	305418,9992	2545,815721
0,266486626	0,387	305426,7963	2538,018622
0,266077286	0,387	305430,6948	2534,120072
0,265258578	0,387	305438,4922	2526,322701
0,261574409	0,385	303882,0308	2491,234667
0,257890267	0,383	302325,5691	2456,146904
0,25666222	0,383	302337,265	2444,450984
0,254206097	0,382	301564,8824	2421,05887
